ts,optimal_bid
2021-01-04 08:00:00,3709.6454178659633
2021-01-04 09:00:00,3634.549901326565
2021-01-04 10:00:00,2816.044173758436
2021-01-04 11:00:00,6000.0
2021-01-04 12:00:00,6000.0
2021-01-04 13:00:00,3207.4462977046783
2021-01-04 14:00:00,3600.696993517864
2021-01-04 15:00:00,2526.795547700317
2021-01-04 16:00:00,3056.699459800288
2021-01-04 17:00:00,3129.5662156297385
2021-01-04 18:00:00,2646.6676213821543
2021-01-04 19:00:00,2141.3138993654866
2021-01-04 20:00:00,2769.375244991345
2021-01-04 21:00:00,2641.881368287905
2021-01-04 22:00:00,3043.982843846491
2021-01-04 23:00:00,2359.860247754724
2021-01-05 00:00:00,0.0
2021-01-05 01:00:00,0.0
2021-01-05 02:00:00,0.0
2021-01-05 03:00:00,0.0
